unsat-epsilon,sat-epsilon,original-prediction,sat-prediction
0.3125,0.375,5,1
0.3125,0.375,4,3
0.3125,0.375,1,3
0.3125,0.375,8,3
0.3125,0.375,8,3
0.3125,0.375,6,1
0.3125,0.375,3,1
0.3125,0.375,9,2
0.3125,0.375,7,3
0.3125,0.375,3,1
0.3125,0.375,6,2
0.3125,0.375,8,3
0.3125,0.375,4,0
0.3125,0.375,6,3
0.3125,0.375,3,0
0.3125,0.375,3,0
0.3125,0.375,0,3
0.3125,0.375,3,1
0.375,0.4375,4,1
0.3125,0.375,3,2
0.3125,0.375,5,0
0.25,0.3125,5,2
0.3125,0.375,9,2
0.3125,0.375,6,0
0.3125,0.375,1,2
0.3125,0.375,6,0
0.3125,0.375,2,0
0.3125,0.375,0,3
0.3125,0.375,9,2
0.3125,0.375,3,4
0.3125,0.375,1,3
0.3125,0.375,1,3
0.3125,0.375,9,2
0.25,0.3125,5,9
0.3125,0.375,8,3
0.3125,0.375,6,0
0.3125,0.375,9,2
0.3125,0.375,5,1
0.3125,0.375,2,0
0.3125,0.375,5,0
0.3125,0.375,8,3
0.3125,0.375,9,0
0.3125,0.375,0,3
0.3125,0.375,9,2
0.25,0.3125,7,3
0.375,0.4375,4,1
0.3125,0.375,9,0
0.3125,0.375,4,1
0.3125,0.375,2,0
0.3125,0.375,3,0
0.3125,0.375,8,1
0.3125,0.375,1,3
