epsilon: (0.2724609375, 0.2734375), original prediction: 5, match prediction: 6
epsilon: (0.2841796875, 0.28515625), original prediction: 5, match prediction: 4
epsilon: (0.2841796875, 0.28515625), original prediction: 5, match prediction: 3
epsilon: (0.2880859375, 0.2890625), original prediction: 2, match prediction: 5
epsilon: (0.2890625, 0.2900390625), original prediction: 2, match prediction: 1
epsilon: (0.2919921875, 0.29296875), original prediction: 5, match prediction: 6
epsilon: (0.2919921875, 0.29296875), original prediction: 5, match prediction: 2
epsilon: (0.29296875, 0.2939453125), original prediction: 5, match prediction: 2
epsilon: (0.29296875, 0.2939453125), original prediction: 3, match prediction: 8
epsilon: (0.294921875, 0.2958984375), original prediction: 6, match prediction: 5
epsilon: (0.294921875, 0.2958984375), original prediction: 5, match prediction: 6
epsilon: (0.294921875, 0.2958984375), original prediction: 8, match prediction: 3
epsilon: (0.296875, 0.2978515625), original prediction: 2, match prediction: 7
epsilon: (0.298828125, 0.2998046875), original prediction: 2, match prediction: 0
epsilon: (0.298828125, 0.2998046875), original prediction: 4, match prediction: 1
epsilon: (0.298828125, 0.2998046875), original prediction: 9, match prediction: 1
epsilon: (0.30078125, 0.3017578125), original prediction: 9, match prediction: 1
epsilon: (0.3017578125, 0.302734375), original prediction: 2, match prediction: 5
epsilon: (0.3017578125, 0.302734375), original prediction: 2, match prediction: 5
epsilon: (0.3017578125, 0.302734375), original prediction: 5, match prediction: 4
epsilon: (0.302734375, 0.3037109375), original prediction: 9, match prediction: 1
epsilon: (0.3037109375, 0.3046875), original prediction: 5, match prediction: 2
epsilon: (0.3037109375, 0.3046875), original prediction: 8, match prediction: 3
epsilon: (0.3037109375, 0.3046875), original prediction: 3, match prediction: 8
epsilon: (0.3056640625, 0.306640625), original prediction: 3, match prediction: 9
epsilon: (0.3056640625, 0.306640625), original prediction: 2, match prediction: 0
epsilon: (0.3056640625, 0.306640625), original prediction: 9, match prediction: 3
epsilon: (0.306640625, 0.3076171875), original prediction: 0, match prediction: 3
epsilon: (0.3076171875, 0.30859375), original prediction: 3, match prediction: 4
epsilon: (0.30859375, 0.3095703125), original prediction: 9, match prediction: 7
epsilon: (0.30859375, 0.3095703125), original prediction: 3, match prediction: 8
epsilon: (0.3095703125, 0.310546875), original prediction: 2, match prediction: 1
epsilon: (0.310546875, 0.3115234375), original prediction: 3, match prediction: 8
epsilon: (0.310546875, 0.3115234375), original prediction: 0, match prediction: 7
epsilon: (0.310546875, 0.3115234375), original prediction: 7, match prediction: 3
epsilon: (0.310546875, 0.3115234375), original prediction: 3, match prediction: 8
epsilon: (0.310546875, 0.3115234375), original prediction: 3, match prediction: 8
epsilon: (0.3115234375, 0.3125), original prediction: 3, match prediction: 7
epsilon: (0.3115234375, 0.3125), original prediction: 6, match prediction: 1
epsilon: (0.3115234375, 0.3125), original prediction: 0, match prediction: 2
epsilon: (0.3125, 0.3134765625), original prediction: 6, match prediction: 4
epsilon: (0.3134765625, 0.314453125), original prediction: 6, match prediction: 4
epsilon: (0.3134765625, 0.314453125), original prediction: 3, match prediction: 4
epsilon: (0.3134765625, 0.314453125), original prediction: 9, match prediction: 3
epsilon: (0.3134765625, 0.314453125), original prediction: 0, match prediction: 1
epsilon: (0.3134765625, 0.314453125), original prediction: 3, match prediction: 8
epsilon: (0.314453125, 0.3154296875), original prediction: 9, match prediction: 7
epsilon: (0.314453125, 0.3154296875), original prediction: 3, match prediction: 8
epsilon: (0.3154296875, 0.31640625), original prediction: 9, match prediction: 3
epsilon: (0.3154296875, 0.31640625), original prediction: 0, match prediction: 2
epsilon: (0.3154296875, 0.31640625), original prediction: 3, match prediction: 9
epsilon: (0.31640625, 0.3173828125), original prediction: 9, match prediction: 7
epsilon: (0.31640625, 0.3173828125), original prediction: 8, match prediction: 4
epsilon: (0.3173828125, 0.318359375), original prediction: 2, match prediction: 0
epsilon: (0.318359375, 0.3193359375), original prediction: 6, match prediction: 1
epsilon: (0.318359375, 0.3193359375), original prediction: 3, match prediction: 8
epsilon: (0.318359375, 0.3193359375), original prediction: 8, match prediction: 3
epsilon: (0.3193359375, 0.3203125), original prediction: 0, match prediction: 7
epsilon: (0.3193359375, 0.3203125), original prediction: 8, match prediction: 3
epsilon: (0.3203125, 0.3212890625), original prediction: 8, match prediction: 4
epsilon: (0.3203125, 0.3212890625), original prediction: 9, match prediction: 3
epsilon: (0.3212890625, 0.322265625), original prediction: 3, match prediction: 9
epsilon: (0.3212890625, 0.322265625), original prediction: 6, match prediction: 4
epsilon: (0.3212890625, 0.322265625), original prediction: 4, match prediction: 1
epsilon: (0.322265625, 0.3232421875), original prediction: 7, match prediction: 9
epsilon: (0.3232421875, 0.32421875), original prediction: 4, match prediction: 9
epsilon: (0.3232421875, 0.32421875), original prediction: 9, match prediction: 1
epsilon: (0.3232421875, 0.32421875), original prediction: 1, match prediction: 9
epsilon: (0.3232421875, 0.32421875), original prediction: 3, match prediction: 4
epsilon: (0.3251953125, 0.326171875), original prediction: 8, match prediction: 3
epsilon: (0.3251953125, 0.326171875), original prediction: 9, match prediction: 3
epsilon: (0.326171875, 0.3271484375), original prediction: 6, match prediction: 4
epsilon: (0.326171875, 0.3271484375), original prediction: 0, match prediction: 5
epsilon: (0.3271484375, 0.328125), original prediction: 8, match prediction: 3
epsilon: (0.3271484375, 0.328125), original prediction: 7, match prediction: 2
epsilon: (0.328125, 0.3291015625), original prediction: 1, match prediction: 4
epsilon: (0.328125, 0.3291015625), original prediction: 4, match prediction: 1
epsilon: (0.3291015625, 0.330078125), original prediction: 1, match prediction: 4
epsilon: (0.3291015625, 0.330078125), original prediction: 9, match prediction: 3
epsilon: (0.3291015625, 0.330078125), original prediction: 7, match prediction: 6
epsilon: (0.330078125, 0.3310546875), original prediction: 3, match prediction: 8
epsilon: (0.3310546875, 0.33203125), original prediction: 1, match prediction: 3
epsilon: (0.3310546875, 0.33203125), original prediction: 7, match prediction: 2
epsilon: (0.33203125, 0.3330078125), original prediction: 7, match prediction: 2
epsilon: (0.33203125, 0.3330078125), original prediction: 8, match prediction: 3
epsilon: (0.3330078125, 0.333984375), original prediction: 4, match prediction: 3
epsilon: (0.3330078125, 0.333984375), original prediction: 1, match prediction: 4
epsilon: (0.3330078125, 0.333984375), original prediction: 0, match prediction: 1
epsilon: (0.3330078125, 0.333984375), original prediction: 1, match prediction: 0
epsilon: (0.3330078125, 0.333984375), original prediction: 3, match prediction: 8
epsilon: (0.333984375, 0.3349609375), original prediction: 3, match prediction: 8
epsilon: (0.3349609375, 0.3359375), original prediction: 1, match prediction: 4
epsilon: (0.3359375, 0.3369140625), original prediction: 7, match prediction: 0
epsilon: (0.3359375, 0.3369140625), original prediction: 8, match prediction: 3
epsilon: (0.3369140625, 0.337890625), original prediction: 1, match prediction: 0
epsilon: (0.337890625, 0.3388671875), original prediction: 4, match prediction: 8
epsilon: (0.3388671875, 0.33984375), original prediction: 4, match prediction: 1
epsilon: (0.345703125, 0.3466796875), original prediction: 8, match prediction: 3
epsilon: (0.345703125, 0.3466796875), original prediction: 8, match prediction: 3
epsilon: (0.3583984375, 0.359375), original prediction: 4, match prediction: 3
